Date,Open,High,Low,Close,Adj Close,Volume
2012-01-04,15967.490234,16004.690430,15822.320313,15882.639648,15882.639648,17800
2012-01-05,15893.070313,15980.169922,15809.309570,15857.080078,15857.080078,21200
2012-01-06,15789.080078,16001.309570,15664.910156,15867.730469,15867.730469,17200
2012-01-07,null,null,null,null,null,null
2012-01-09,15840.219727,15871.509766,15678.299805,15814.719727,15814.719727,11200
2012-01-10,15898.320313,16180.969727,15898.320313,16165.089844,16165.089844,19600
2012-01-11,16222.370117,16244.700195,16127.769531,16175.860352,16175.860352,18600
2012-01-12,16117.190430,16178.580078,15962.589844,16037.509766,16037.509766,14400
2012-01-13,16144.570313,16257.339844,16049.780273,16154.620117,16154.620117,19600
2012-01-16,16086.740234,16214.360352,16037.599609,16189.360352,16189.360352,13400
2012-01-17,16270.870117,16501.380859,16270.870117,16466.050781,16466.050781,18800
2012-01-18,16502.419922,16517.960938,16384.480469,16451.470703,16451.470703,16200
2012-01-19,16573.869141,16662.060547,16572.099609,16643.740234,16643.740234,16800
2012-01-20,16745.009766,16788.480469,16611.710938,16739.009766,16739.009766,18000
2012-01-23,16667.019531,16784.000000,16659.320313,16751.730469,16751.730469,15000
2012-01-24,16806.720703,17050.320313,16770.009766,16995.769531,16995.769531,18200
2012-01-25,17068.849609,17130.240234,17016.689453,17077.179688,17077.179688,14000
2012-01-27,17201.330078,17258.970703,17106.570313,17233.980469,17233.980469,17200
2012-01-30,17138.039063,17138.039063,16828.330078,16863.300781,16863.300781,14400
2012-01-31,16965.580078,17238.990234,16965.580078,17193.550781,17193.550781,18600
2012-02-01,17179.640625,17327.210938,17061.550781,17300.580078,17300.580078,47400
2012-02-02,17438.070313,17504.250000,17308.279297,17431.849609,17431.849609,27000
2012-02-03,17444.250000,17630.529297,17382.699219,17604.960938,17604.960938,16600
2012-02-06,17741.910156,17829.720703,17595.099609,17707.310547,17707.310547,17600
2012-02-07,17813.740234,17832.039063,17582.490234,17622.449219,17622.449219,16800
2012-02-08,17631.689453,17809.210938,17579.589844,17707.320313,17707.320313,20800
2012-02-09,17647.800781,17879.460938,17609.429688,17830.750000,17830.750000,21400
2012-02-10,17817.589844,17890.109375,17627.140625,17748.689453,17748.689453,19600
2012-02-13,17761.699219,17849.640625,17665.890625,17772.839844,17772.839844,16800
2012-02-14,17767.460938,17890.330078,17742.580078,17848.570313,17848.570313,17400
2012-02-15,18000.300781,18231.349609,18000.300781,18202.410156,18202.410156,25600
2012-02-16,18163.050781,18182.779297,18043.320313,18153.990234,18153.990234,20000
2012-02-17,18331.199219,18423.060547,18234.560547,18289.349609,18289.349609,27800
2012-02-21,18303.730469,18470.859375,18293.800781,18428.609375,18428.609375,20600
2012-02-22,18490.869141,18523.779297,18095.810547,18145.250000,18145.250000,21600
2012-02-23,18127.349609,18249.529297,18005.279297,18078.500000,18078.500000,19600
2012-02-24,18079.009766,18198.150391,17848.929688,17923.570313,17923.570313,19600
2012-02-27,17975.189453,17975.189453,17381.640625,17445.750000,17445.750000,20800
2012-02-28,17545.109375,17776.820313,17530.439453,17731.119141,17731.119141,16000
2012-02-29,17919.929688,18001.349609,17677.970703,17752.679688,17752.679688,18400
2012-03-01,17714.619141,17717.529297,17463.269531,17583.970703,17583.970703,18800
2012-03-02,17661.390625,17731.880859,17504.380859,17636.800781,17636.800781,17000
2012-03-03,null,null,null,null,null,null
2012-03-05,17598.419922,17598.419922,17312.300781,17362.869141,17362.869141,12000
2012-03-06,17336.640625,17691.960938,17128.279297,17173.289063,17173.289063,18600
2012-03-07,17127.179688,17239.349609,17008.769531,17145.519531,17145.519531,20400
2012-03-09,17325.820313,17531.619141,17325.820313,17503.240234,17503.240234,12800
2012-03-12,17772.099609,17772.099609,17494.650391,17587.669922,17587.669922,12200
2012-03-13,17680.230469,17842.919922,17680.230469,17813.619141,17813.619141,12800
2012-03-14,18003.150391,18040.689453,17837.220703,17919.300781,17919.300781,14200
2012-03-15,17916.849609,17918.250000,17622.130859,17675.849609,17675.849609,13800
2012-03-16,17656.810547,17871.000000,17426.580078,17466.199219,17466.199219,24800
2012-03-19,17531.470703,17561.460938,17226.429688,17273.369141,17273.369141,13800
2012-03-20,17308.890625,17410.130859,17211.730469,17316.179688,17316.179688,14200
2012-03-21,17301.160156,17622.869141,17275.880859,17601.710938,17601.710938,14200
2012-03-22,17586.060547,17687.009766,17136.500000,17196.470703,17196.470703,17600
2012-03-23,17257.720703,17458.349609,17179.330078,17361.740234,17361.740234,12600
2012-03-26,17377.589844,17377.589844,17021.849609,17052.779297,17052.779297,17000
2012-03-27,17209.130859,17366.839844,17061.160156,17257.359375,17257.359375,19000
2012-03-28,17234.480469,17245.820313,17040.119141,17121.619141,17121.619141,13200
2012-03-29,17039.849609,17109.349609,16920.609375,17058.609375,17058.609375,11200
2012-03-30,17117.410156,17439.509766,17105.220703,17404.199219,17404.199219,25000
2012-04-02,17429.960938,17529.980469,17382.380859,17478.150391,17478.150391,10000
2012-04-03,17576.210938,17664.099609,17478.150391,17597.419922,17597.419922,10800
2012-04-04,17553.259766,17597.419922,17436.599609,17486.019531,17486.019531,9800
2012-04-09,17407.660156,17486.019531,17199.630859,17222.140625,17222.140625,9800
2012-04-10,17259.259766,17274.689453,17135.759766,17243.839844,17243.839844,10000
2012-04-11,17125.960938,17319.150391,17075.890625,17199.400391,17199.400391,11800
2012-04-12,17276.869141,17395.150391,17199.400391,17332.619141,17332.619141,10200
2012-04-13,17232.560547,17398.220703,17027.300781,17094.509766,17094.509766,18400
2012-04-16,17047.869141,17173.060547,17010.160156,17150.949219,17150.949219,9800
2012-04-17,17200.970703,17381.919922,17103.359375,17357.939453,17357.939453,12400
2012-04-18,17447.259766,17522.800781,17357.939453,17392.390625,17392.390625,9800
2012-04-19,17432.890625,17530.300781,17361.710938,17503.710938,17503.710938,11800
2012-04-20,17459.720703,17519.880859,17231.339844,17373.839844,17373.839844,11200
2012-04-23,17347.759766,17444.179688,17056.769531,17096.679688,17096.679688,13000
2012-04-24,17154.750000,17247.529297,17046.720703,17207.289063,17207.289063,12400
2012-04-25,17225.539063,17249.609375,17019.240234,17151.289063,17151.289063,11400
2012-04-26,17191.019531,17193.250000,17084.050781,17130.669922,17130.669922,10800
2012-04-27,17145.390625,17242.150391,17022.089844,17134.250000,17134.250000,11000
2012-04-30,17195.509766,17359.179688,17187.339844,17318.810547,17318.810547,8400
2012-05-02,17370.929688,17432.330078,17265.480469,17301.910156,17301.910156,9400
2012-05-03,17271.769531,17301.910156,17120.859375,17151.189453,17151.189453,8600
2012-05-04,17066.839844,17151.189453,16776.720703,16831.080078,16831.080078,11000
2012-05-07,16620.439453,16944.130859,16513.769531,16912.710938,16912.710938,11400
2012-05-08,16915.710938,16918.310547,16502.910156,16546.179688,16546.179688,12800
2012-05-09,16436.410156,16615.740234,16422.929688,16479.580078,16479.580078,12400
2012-05-10,16515.619141,16671.810547,16377.019531,16420.050781,16420.050781,10800
2012-05-11,16355.589844,16447.240234,16233.759766,16292.980469,16292.980469,11200
2012-05-14,16318.360352,16390.330078,16124.820313,16215.839844,16215.839844,11000
